id,y
1,78.993057251
2,99.4927215576
3,79.2909164429
4,77.3470306396
5,113.790710449
8,93.1520843506
10,113.767677307
11,96.3871917725
12,116.213020325
14,93.3062362671
15,116.039978027
16,102.900169373
17,96.7194519043
19,96.6874008179
20,102.785919189
21,95.9494018555
22,115.843864441
23,96.7194519043
26,94.9864501953
28,94.8985519409
29,96.7194519043
33,96.7194519043
35,94.8112716675
41,96.7194519043
42,94.7235870361
43,119.823265076
45,103.87247467
46,105.691886902
51,95.9203186035
53,75.5760650635
55,113.336677551
56,94.9803466797
57,104.705085754
58,94.3073730469
59,104.402450562
63,112.587432861
64,96.8347015381
65,102.762168884
69,94.4276428223
71,95.1245956421
72,104.397102356
73,95.3175811768
76,104.73651123
77,103.551895142
78,113.110214233
82,95.6494140625
83,102.789772034
84,94.245262146
85,102.630249023
87,113.573913574
88,96.8595581055
89,113.894645691
91,95.0662155151
93,94.9984436035
94,105.448669434
95,94.2730560303
96,112.618408203
97,96.2831344604
98,114.051338196
99,95.7563476562
101,104.398323059
103,113.894645691
104,93.8813018799
105,112.349525452
110,96.7963790894
111,113.279273987
113,112.191810608
114,93.9300079346
115,111.805412292
117,113.894645691
120,94.2661972046
121,112.56615448
122,97.0378875732
123,111.09438324
126,112.570777893
132,113.002914429
135,103.925018311
137,103.513198853
138,95.2490615845
140,94.9677886963
142,112.726852417
144,112.420204163
148,92.5822219849
149,117.282875061
155,96.6211547852
156,111.940223694
157,96.2831344604
162,114.424179077
163,93.7811050415
167,96.2342453003
172,120.699554443
179,116.888809204
180,110.65209198
181,111.817184448
182,96.2684249878
183,113.894645691
185,113.894645691
187,115.273712158
188,95.6494140625
189,95.1559753418
191,93.6957855225
192,112.399215698
193,95.4661026001
194,114.009536743
195,94.0281829834
196,113.708389282
198,95.8868408203
199,112.149734497
201,102.40019989
204,95.2490615845
205,103.121307373
206,95.1422424316
210,95.7322769165
211,104.398323059
216,112.397773743
219,115.107902527
220,97.3865280151
221,111.943161011
226,111.817184448
227,95.448135376
228,112.380691528
230,112.020622253
231,96.2831344604
235,115.122741699
236,93.1697235107
238,112.236068726
242,104.610191345
243,94.6053543091
244,78.4933166504
245,110.754302979
247,114.901954651
248,95.0177459717
249,95.373916626
250,112.58442688
251,93.1697235107
253,115.122741699
254,93.6555175781
256,95.1087188721
257,92.7014160156
258,112.221542358
259,95.7579345703
262,78.2381286621
266,96.2699508667
267,112.753051758
272,103.528915405
273,113.894645691
275,96.0293731689
276,114.017562866
279,94.2628479004
280,102.789772034
283,94.9879760742
285,112.190086365
288,113.894645691
289,94.1398391724
290,102.690307617
291,95.9899520874
292,113.669807434
293,112.566368103
296,99.7155914307
297,113.005271912
298,113.110214233
299,95.6494140625
304,96.051902771
