id,y
1,92.3351974487
2,107.330482483
3,90.882598877
4,85.3313446045
5,116.756202698
8,99.84815979
10,115.428611755
11,101.37776947
12,126.134941101
14,111.157775879
15,126.134941101
16,108.940292358
17,120.954971313
19,102.035652161
20,103.778388977
21,120.49433136
22,127.631851196
23,120.947952271
26,99.4609375
28,100.233917236
29,120.947952271
33,120.947952271
35,102.441673279
41,121.21723938
42,102.045082092
43,114.781723022
45,107.938087463
46,110.728042603
51,101.760108948
53,92.9682006836
55,116.011436462
56,102.051071167
57,116.615653992
58,102.819580078
59,123.130126953
63,115.883125305
64,101.30014801
65,104.738822937
69,104.822654724
71,104.823295593
72,109.717643738
73,102.507476807
76,123.644058228
77,121.573265076
78,115.662208557
82,102.742279053
83,104.738822937
84,100.767402649
85,108.518135071
87,115.034675598
88,121.21723938
89,116.027961731
91,103.094207764
93,103.567115784
94,107.568237305
95,95.6762619019
96,117.175987244
97,101.208145142
98,115.546981812
99,104.302055359
101,109.94241333
103,116.027961731
104,100.968574524
105,116.855400085
110,104.155883789
111,126.967346191
113,118.581260681
114,103.830696106
115,117.036262512
117,116.027961731
120,100.451423645
121,117.840660095
122,106.513595581
123,114.700866699
126,118.036178589
132,130.82623291
135,104.714790344
137,103.740325928
138,102.539657593
140,102.051071167
142,119.868461609
144,114.84703064
148,101.166435242
149,117.829109192
155,101.852493286
156,116.11605835
157,102.732963562
162,118.772705078
163,104.495635986
167,118.393882751
172,116.306541443
179,118.837562561
180,108.977928162
181,117.106117249
182,102.453559875
183,117.552780151
185,117.552780151
187,120.241127014
188,104.320358276
189,103.873428345
191,103.7917099
192,129.983261108
193,102.716033936
194,119.889701843
195,121.16544342
196,116.42212677
198,103.223625183
199,117.747650146
201,104.841682434
204,104.307807922
205,110.421951294
206,107.598266602
210,103.927833557
211,111.46723175
216,116.745315552
219,127.659759521
220,99.8314056396
221,117.388412476
226,117.106117249
227,102.429260254
228,116.283233643
230,116.809295654
231,102.732963562
235,129.156677246
236,101.384490967
238,116.814544678
242,125.388656616
243,104.911865234
244,86.7383346558
245,121.214874268
247,118.199867249
248,102.841491699
249,99.9929351807
250,119.097038269
251,101.384490967
253,129.156677246
254,113.063919067
256,102.681236267
257,103.122375488
258,121.208763123
259,105.826873779
262,94.280166626
266,118.949310303
267,117.516014099
272,110.709129333
273,117.552780151
275,103.688323975
276,122.176467896
279,105.447845459
280,106.263641357
283,105.025993347
285,116.706787109
288,117.552780151
289,103.061805725
290,105.075378418
291,103.9400177
292,117.67906189
293,115.292655945
296,104.58203125
297,119.162246704
298,117.320892334
299,104.267097473
304,103.668006897
305,97.753074646
306,103.478118896
307,117.252685547
311,131.111740112
313,117.106117249
314,131.468353271
316,112.368003845
324,107.28855896
327,107.42918396
329,102.992034912
330,119.889701843
337,104.870109558
338,103.430549622
339,109.992393494
340,101.52116394
343,100.852645874
345,127.659759521
346,106.924102783
347,118.870155334
349,119.908485413
350,107.412185669
352,119.710205078
353,104.259796143
354,102.30821228
357,104.155418396
358,123.971511841
362,117.331886292
364,120.25453949
365,112.619400024
366,117.800125122
367,116.776885986
368,104.450668335
370,86.4237518311
373,104.560935974
377,103.834281921
378,119.719955444
382,125.168876648
384,116.283233643
390,98.0227661133
392,117.827865601
393,123.229286194
395,102.584640503
396,105.317268372
399,91.6110839844
406,117.106117249
408,117.106117249
409,123.583267212
410,82.9327697754
412,117.923446655
413,102.642410278
419,97.9448776245
420,116.267280579
421,102.107192993
430,107.176040649
434,103.228897095
436,106.079032898
437,103.575889587
438,102.029823303
439,116.490333557
440,105.263221741
443,117.114356995
446,104.696479797
448,101.362037659
452,103.013237
453,112.280479431
457,104.721282959
458,104.278343201
459,132.488586426
460,113.044769287
462,112.958206177
464,113.47228241
465,127.659759521
467,122.784812927
471,118.871894836
472,98.168762207
473,110.127845764
475,103.369033813
480,104.618057251
488,120.511154175
490,117.252685547
491,110.50957489
492,83.3932723999
493,105.038825989
497,102.296905518
498,118.826545715
499,102.856109619
500,112.296203613
501,104.278343201
502,117.069473267
506,93.2321853638
510,117.584625244
511,104.682922363
512,103.059173584
516,101.180236816
518,119.691162109
519,122.461174011
521,100.496749878
522,125.56602478
526,117.586738586
529,101.763252258
532,117.70362854
533,105.288490295
536,117.51990509
537,112.173912048
539,104.287094116
540,111.673408508
541,101.133575439
543,103.873428345
546,118.061485291
547,101.412132263
548,101.560409546
551,108.895095825
552,110.458488464
556,123.793067932
557,104.703445435
558,116.689590454
559,103.923950195
560,111.287124634
562,110.421951294
566,104.235778809
570,118.826545715
571,103.575889587
572,106.263641357
573,104.320358276
575,127.659759521
576,118.16796875
577,108.966667175
579,101.860778809
580,115.026268005
581,132.35105896
589,117.252685547
591,109.489265442
593,104.616722107
594,108.62437439
595,105.709846497
598,108.855323792
602,116.623146057
604,116.766960144
606,122.007629395
608,116.095458984
609,111.46723175
610,103.752380371
616,117.943565369
617,100.320381165
618,123.457008362
620,109.697265625
622,116.73651886
623,102.258369446
624,132.12828064
626,117.681678772
628,117.101852417
629,106.548370361
630,116.809295654
637,103.983055115
638,106.030418396
643,106.631568909
645,104.618057251
646,123.562652588
648,106.525291443
652,102.106483459
653,103.575889587
654,118.826545715
656,119.098365784
657,106.032989502
659,102.967910767
660,109.720848083
663,104.087684631
664,116.953933716
666,110.899429321
668,119.151321411
669,101.70236969
671,114.013290405
675,100.386703491
677,101.209083557
678,119.434059143
679,105.681167603
682,107.384849548
685,108.556404114
687,104.248374939
688,102.154655457
693,117.837181091
696,107.128219604
698,102.069969177
701,105.686164856
704,110.875228882
705,127.688201904
709,118.723518372
710,105.033164978
711,122.075294495
712,105.367683411
714,118.239509583
715,100.505569458
716,117.02305603
717,104.381278992
720,127.659759521
721,103.7917099
724,110.491539001
725,103.566001892
726,118.914978027
728,118.044692993
731,103.318664551
734,110.479667664
738,99.6884689331
745,116.429039001
746,103.121780396
751,84.8182907104
754,105.377067566
756,104.053649902
758,101.599807739
759,120.192764282
761,129.092208862
766,102.316604614
767,117.996002197
768,102.258369446
769,117.204627991
770,105.234672546
771,83.3932723999
772,114.260772705
773,107.975227356
774,118.865211487
776,116.283233643
777,103.374458313
780,116.209892273
782,110.667762756
787,111.97228241
788,104.287094116
792,101.839645386
793,116.431304932
798,106.121284485
800,100.364677429
806,117.02305603
809,118.693244934
811,117.579627991
812,104.120437622
814,127.659759521
816,108.888969421
817,103.25554657
818,114.55329895
820,117.491172791
823,104.397544861
829,103.087631226
830,118.399978638
831,103.688774109
834,115.82535553
839,103.574447632
841,84.3701934814
844,110.601852417
845,102.279281616
848,103.824211121
850,111.606399536
851,111.249038696
852,101.66784668
854,105.680671692
855,108.788375854
856,109.285064697
859,110.618095398
861,118.865211487
864,104.175590515
865,119.048622131
866,104.710235596
867,104.58820343
869,101.314468384
871,103.058799744
872,117.02305603
882,111.602645874
883,102.223251343
885,104.078475952
888,107.42918396
893,116.348175049
901,121.214874268
903,110.50957489
904,105.154945374
905,112.158073425
910,104.654899597
911,116.771690369
914,117.414855957
918,119.896003723
921,100.695228577
928,105.655395508
929,111.594398499
932,102.550697327
933,113.139793396
934,104.654899597
935,118.281494141
937,86.1103515625
939,103.314712524
940,111.036781311
941,105.593696594
942,110.592910767
943,102.941215515
944,112.532142639
947,117.02305603
949,116.834754944
951,114.769165039
952,102.555007935
953,110.50957489
954,114.475906372
957,116.034606934
959,100.202125549
960,122.460418701
963,127.659759521
965,117.02305603
967,111.238327026
971,102.558158875
972,97.1785964966
973,102.816238403
974,116.058410645
975,105.805488586
978,122.682785034
980,118.670478821
981,104.232597351
984,117.705322266
986,104.654899597
988,102.258369446
989,117.120285034
990,125.4220047
992,121.214874268
996,102.570243835
999,119.741897583
1000,105.537437439
1001,119.048622131
1002,102.548332214
1003,116.283233643
1004,101.750701904
1008,117.181358337
1009,103.788421631
1010,123.741256714
1012,121.908164978
1013,103.103279114
1014,120.697746277
1015,103.514678955
1016,127.659759521
1019,105.256912231
1020,117.410697937
1021,104.654899597
1022,110.680053711
1024,104.654899597
1025,100.494163513
1027,100.942977905
1028,112.388465881
1029,103.369766235
1030,107.230537415
1033,116.90398407
1036,100.483016968
1037,117.547401428
1038,103.698310852
1042,103.314712524
1043,108.662017822
1044,106.363014221
1045,117.153327942
1047,132.488586426
1050,103.873428345
1051,116.494743347
1054,104.397544861
1056,104.232597351
1057,102.223251343
1059,103.257820129
1062,104.442611694
1063,110.39050293
1064,104.232597351
1066,107.667747498
1070,110.291847229
1076,118.732116699
1077,123.405433655
1078,116.942359924
1080,117.157821655
1082,119.511505127
1083,107.42918396
1089,123.420303345
1091,107.42918396
1093,103.555458069
1097,102.130554199
1099,103.446960449
1101,104.654899597
